Freelancer_ID;Job_Category;Platform;Experience_Level;Client_Region;Payment_Method;Job_Completed;Earnings_USD;Hourly_Rate;Job_Success_Rate;Client_Rating;Job_Duration_Days;Project_Type;Rehire_Rate;Marketing_Spend;PC1;PC2
1;Web Development;Fiverr;Beginner;Asia;Mobile Banking;180;1620;95.79;68.73;3.18;1;Fixed;40.19;53;1.215381365733178;-1.41566
2;App Development;Fiverr;Beginner;Australia;Mobile Banking;218;9078;86.38;97.54;3.44;54;Fixed;36.53;486;0.6412358982315549;2.2778842914989106
3;Web Development;Fiverr;Beginner;UK;Crypto;27;3455;85.17;86.6;4.2;46;Hourly;74.05;489;1.661108949049551;0.3018856022021044
4;Data Entry;PeoplePerHour;Intermediate;Asia;Bank Transfer;17;5577;14.37;79.93;4.47;41;Hourly;27.58;67;-2.145490044;-0.812147288
5;Digital Marketing;Upwork;Expert;Asia;Crypto;245;5898;99.37;57.8;5;41;Hourly;69.09;489;2.2344850899019972;1.9091233681027757
6;Customer Support;Toptal;Beginner;Europe;Crypto;280;6867;43.04;57.8;4.87;8;Fixed;43.88;290;0.36184112812952773;1.1107393862231034
7;Web Development;Fiverr;Beginner;USA;Crypto;96;1677;20.5;52.9;4.29;32;Hourly;45.99;343;0.33900889766335734;-1.059208815
8;Data Entry;Toptal;Beginner;Australia;Bank Transfer;112;6193;82.15;93.31;3.84;30;Fixed;31.59;168;-0.352023609;0.41100440069272354
9;Content Writing;Toptal;Intermediate;USA;Crypto;233;8446;26.44;80.06;4.27;46;Fixed;50.11;396;-0.18489946;1.3685741244160423
10;Data Entry;PeoplePerHour;Beginner;Middle East;Mobile Banking;156;6608;54.99;85.4;4.57;52;Hourly;32.76;160;-1.184943402;0.7241990190472636
11;App Development;Fiverr;Beginner;Australia;Crypto;112;5322;17.16;51.03;3.24;89;Fixed;12.75;14;-1.828059057;-1.487405814
12;Customer Support;Toptal;Intermediate;Australia;Mobile Banking;293;7931;50.09;98.5;3.82;61;Fixed;29.04;190;-1.228755363;1.2889996154060432
13;Customer Support;Fiverr;Intermediate;Europe;Mobile Banking;180;9033;58.02;91.62;4.68;13;Fixed;10.45;14;-2.038629793;1.1784943536275394
14;Data Entry;Freelancer;Beginner;Canada;Bank Transfer;290;3797;47.36;60.62;3.77;89;Hourly;78.48;286;1.1067554450702182;-0.312678093
